product_id,gender,masterCategory,subCategory,articleType,baseColour,season,productDisplayName,quantity
15970,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,Turtle Check Men Navy Blue Shirt,44
39386,Men,Apparel,Bottomwear,Jeans,Blue,Summer,Peter England Men Party Blue Jeans,35
59263,Women,Accessories,Watches,Watches,Silver,Winter,Titan Women Silver Watch,206
21379,Men,Apparel,Bottomwear,Track Pants,Black,Fall,Manchester United Men Solid Black Track Pants,45
53759,Men,Apparel,Topwear,Tshirts,Grey,Summer,Puma Men Grey T-shirt,226
1855,Men,Apparel,Topwear,Tshirts,Grey,Summer,Inkfruit Mens Chain Reaction T-shirt,52
30805,Men,Apparel,Topwear,Shirts,Green,Summer,Fabindia Men Striped Green Shirt,43
26960,Women,Apparel,Topwear,Shirts,Purple,Summer,Jealous 21 Women Purple Shirt,82
29114,Men,Accessories,Socks,Socks,Navy Blue,Summer,Puma Men Pack of 3 Socks,93
30039,Men,Accessories,Watches,Watches,Black,Winter,Skagen Men Black Watch,27
9204,Men,Footwear,Shoes,Casual Shoes,Black,Summer,Puma Men Future Cat Remix SF Black Casual Shoes,48
48123,Women,Accessories,Belts,Belts,Black,Summer,Fossil Women Black Huarache Weave Belt,52
18653,Men,Footwear,Flip Flops,Flip Flops,Black,Fall,Fila Men Cush Flex Black Slippers,32
47957,Women,Accessories,Bags,Handbags,Blue,Summer,Murcia Women Blue Handbag,258
46885,Boys,Footwear,Flip Flops,Flip Flops,Navy Blue,Fall,Ben 10 Boys Navy Blue Slippers,37
12369,Men,Apparel,Topwear,Shirts,Purple,Fall,Reid & Taylor Men Check Purple Shirts,72
29928,Men,Accessories,Watches,Watches,Black,Winter,Police Men Black Dial Watch PL12889JVSB,25
42419,Girls,Apparel,Topwear,Tops,White,Summer,Gini and Jony Girls Knit White Top,63
51832,Women,Apparel,Innerwear,Bra,Beige,Summer,Bwitch Beige Full-Coverage Bra BW335,39
47359,Women,Accessories,Bags,Handbags,Brown,Summer,Baggit Women Brown Handbag,420
17429,Men,Accessories,Watches,Watches,Black,Winter,CASIO G-Shock Men Black Digital Watch G-7710-1DR G223,43
12967,Men,Footwear,Sandal,Sandals,Black,Fall,ADIDAS Men Spry M Black Sandals,40
6842,Unisex,Accessories,Shoe Accessories,Shoe Accessories,Black,Summer,Timberland Unisex Rubber Sole Brush Shoe Accessories,38
13089,Men,Apparel,Topwear,Sweatshirts,Grey,Fall,ADIDAS Men Lfc Auth Hood Grey Sweatshirts,33
18461,Men,Personal Care,Fragrance,Deodorant,White,Spring,David Beckham Signature Men Deos,39
9036,Men,Footwear,Shoes,Formal Shoes,Black,Winter,Buckaroo Men Flores Black Formal Shoes,47
48311,Women,Accessories,Jewellery,Bracelet,Bronze,Winter,Pitaraa Women Bronze Beaded Bracelet,61
7990,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,Fila Men's Round Neck Navy Blue T-shirt,44
56019,Women,Personal Care,Lips,Lipstick,Brown,Spring,Colorbar Soft Touch Show Stopper Copper Lipstick 037,50
21977,Women,Accessories,Bags,Handbags,Brown,Winter,Murcia Women Casual Brown Handbag,616
37812,Men,Apparel,Topwear,Shirts,Navy Blue,Summer,John Players Men Navy Blue Shirt,61
4729,Boys,Apparel,Topwear,Tshirts,Green,Summer,Disney Kids Boy's Crew Sea Life Sialing Green Teen Kidswear,45
56825,Men,Apparel,Topwear,Shirts,Brown,Summer,John Players Men Brown Shirt,40
39988,Men,Footwear,Shoes,Casual Shoes,White,Winter,Gas Men Europa White Shoes,26
59051,Women,Footwear,Shoes,Flats,Black,Winter,Carlton London Women Black & Gold Toned Flats,33
20099,Women,Apparel,Topwear,Kurtas,Green,Fall,Diva Women Embroided Green Kurta,33
