customer_id,mean_purchase_cycle,median_purchase_cycle
3,29.0,28.0
8,76.0,76.0
9,67.0,67.0
15,207.0,207.0
17,671.0,671.0
18,53.0,43.0
20,5.0,5.0
24,49.0,49.0
27,229.0,183.0
28,22.0,22.0
32,90.0,90.5
36,917.0,917.0
45,19.0,19.0
46,185.0,185.0
47,88.0,88.0
48,158.0,158.0
50,707.0,707.0
57,51.0,51.0
61,113.0,113.0
65,583.0,583.0
67,295.0,246.0
68,36.0,29.0
71,51.0,51.0
76,8.0,8.0
79,96.0,96.0
81,397.0,397.0
83,690.0,690.0
87,42.0,42.0
88,31.0,31.0
89,83.0,83.0
90,280.0,280.5
91,408.0,408.0
92,94.0,94.0
93,40.0,40.0
95,67.0,67.0
98,13.0,11.0
100,1088.0,1088.0
102,5.0,5.0
104,63.0,63.0
107,13.0,13.0
108,316.0,263.0
109,57.0,57.0
110,226.0,226.0
111,55.0,47.0
115,18.0,18.0
116,95.0,95.0
117,34.0,34.0
118,58.0,58.0
119,34.0,34.0
121,3.0,3.0
122,11.0,10.0
123,253.0,253.0
125,182.0,182.0
126,29.0,29.0
127,146.0,146.0
133,448.0,448.0
134,410.0,409.5
136,57.0,57.0
139,3.0,3.0
141,609.0,609.0
142,6.0,6.0
145,35.0,35.0
147,32.0,32.0
149,90.0,90.0
150,110.0,110.0
151,466.0,466.0
152,74.0,65.0
153,88.0,88.0
154,166.0,166.0
155,30.0,29.0
156,25.0,25.0
158,2.0,2.0
160,13.0,13.0
161,23.0,23.0
163,164.0,164.0
168,16.0,16.0
169,294.0,294.0
170,137.0,126.0
171,136.0,136.0
173,4.0,4.0
177,13.0,11.0
179,53.0,53.0
182,78.0,78.0
183,46.0,46.0
184,155.0,155.0
185,69.0,56.0
187,134.0,134.0
191,334.0,334.0
197,78.0,68.0
198,7.0,6.0
199,16.0,16.0
202,46.0,46.0
203,102.0,102.0
204,18.0,17.0
206,396.0,396.0
211,29.0,22.0
213,40.0,37.0
214,22.0,22.0
215,83.0,72.0
217,64.0,64.0
218,27.0,27.0
219,422.0,422.0
221,201.0,183.0
222,60.0,60.0
224,81.0,77.0
225,26.0,26.0
226,314.0,314.0
229,78.0,78.0
230,602.0,602.0
231,22.0,22.0
233,752.0,752.0
234,7.0,7.0
235,345.0,345.0
236,162.0,162.0
238,19.0,18.0
239,146.0,146.0
241,47.0,47.0
243,45.0,44.0
245,52.0,52.0
247,145.0,145.0
249,980.0,980.0
255,128.0,120.0
256,128.0,128.0
259,223.0,223.0
262,492.0,492.0
263,152.0,152.0
265,199.0,199.0
267,24.0,24.0
268,13.0,13.0
270,672.0,672.0
273,13.0,13.0
274,532.0,532.0
278,161.0,161.0
280,2.0,2.0
281,133.0,133.0
284,243.0,243.0
288,955.0,955.0
289,565.0,565.0
293,10.0,10.0
295,7.0,6.0
300,361.0,361.0
302,182.0,125.0
306,53.0,53.0
307,8.0,8.0
308,162.0,162.0
312,162.0,146.0
313,68.0,68.0
314,13.0,13.0
316,11.0,11.0
317,63.0,57.0
320,40.0,36.0
322,151.0,121.0
325,91.0,109.0
330,8.0,8.0
332,9.0,9.0
333,25.0,23.0
336,112.0,112.0
338,200.0,200.0
339,50.0,50.0
344,163.0,163.0
345,37.0,30.0
347,75.0,75.0
360,58.0,58.0
361,128.0,128.0
362,110.0,110.0
363,17.0,17.0
364,59.0,59.0
365,51.0,51.0
366,56.0,56.0
368,214.0,214.0
373,179.0,134.0
375,128.0,128.0
377,9.0,9.0
379,43.0,43.0
382,89.0,89.0
384,52.0,52.0
386,366.0,366.0
391,40.0,40.5
392,457.0,457.0
396,74.0,74.0
403,75.0,75.0
404,24.0,24.0
406,430.0,430.0
409,14.0,14.0
415,12.0,12.0
420,153.0,153.0
421,85.0,85.0
424,18.0,18.0
427,36.0,34.0
429,69.0,69.0
430,124.0,124.0
432,20.0,20.0
434,67.0,67.0
435,108.0,108.0
436,27.0,27.0
438,200.0,200.0
441,143.0,132.0
444,30.0,30.0
445,315.0,315.0
446,2.0,2.0
447,2.0,2.0
451,193.0,145.0
462,37.0,37.0
469,269.0,269.0
473,130.0,130.0
474,93.0,93.0
475,113.0,113.0
483,483.0,483.0
487,46.0,46.0
488,60.0,55.0
490,50.0,50.0
494,32.0,28.0
495,122.0,122.0
496,18.0,18.0
497,106.0,106.0
509,7.0,6.0
511,36.0,33.0
513,50.0,47.0
515,16.0,16.0
516,34.0,27.0
521,10.0,10.0
525,36.0,36.0
526,378.0,378.0
527,62.0,62.0
528,50.0,49.0
530,47.0,47.0
535,51.0,50.0
536,56.0,56.0
539,32.0,32.0
540,64.0,64.0
544,30.0,29.0
548,597.0,597.0
550,166.0,166.0
551,126.0,126.0
559,56.0,56.0
563,93.0,93.0
564,75.0,75.0
565,0.0,0.0
566,24.0,22.0
569,11.0,11.0
570,77.0,77.0
572,88.0,72.0
574,40.0,40.0
575,121.0,121.0
579,103.0,103.0
582,90.0,85.0
583,211.0,211.0
585,507.0,507.0
588,12.0,12.0
591,138.0,138.0
592,346.0,346.0
593,25.0,24.0
595,54.0,54.0
601,136.0,136.0
602,45.0,45.0
604,763.0,763.0
607,330.0,330.0
609,305.0,229.0
612,126.0,108.0
614,22.0,22.0
615,24.0,24.0
618,238.0,238.0
619,204.0,203.5
623,66.0,66.0
626,139.0,139.0
627,328.0,328.0
628,146.0,146.0
631,914.0,914.0
632,600.0,600.0
635,23.0,23.0
636,6.0,6.0
637,207.0,207.0
640,29.0,29.0
642,205.0,205.0
644,21.0,19.0
646,814.0,814.0
650,304.0,261.0
651,1042.0,1042.0
653,29.0,29.0
657,8.0,8.0
659,59.0,59.0
661,402.0,402.0
665,1071.0,1071.0
666,119.0,105.0
670,429.0,429.0
672,238.0,170.0
675,193.0,193.0
678,72.0,72.0
681,120.0,120.0
688,31.0,31.0
690,46.0,45.5
693,78.0,78.0
694,127.0,127.0
696,70.0,70.0
702,75.0,68.0
704,178.0,142.0
711,35.0,35.0
713,130.0,116.0
715,241.0,241.0
718,16.0,13.0
722,356.0,297.0
723,826.0,826.0
729,16.0,16.0
731,739.0,739.0
732,752.0,752.5
736,21.0,21.0
737,22.0,22.0
738,15.0,15.0
740,436.0,436.0
742,519.0,519.0
745,137.0,137.0
748,74.0,74.0
749,128.0,107.0
750,51.0,51.0
752,125.0,125.0
753,114.0,84.0
755,30.0,29.0
762,75.0,75.0
764,201.0,201.0
766,6.0,6.0
767,574.0,574.0
769,23.0,22.0
770,119.0,119.0
771,16.0,16.0
778,64.0,57.0
784,232.0,232.0
787,31.0,31.0
789,24.0,24.0
790,122.0,121.5
791,18.0,17.0
794,35.0,34.0
796,500.0,500.0
797,137.0,137.0
799,618.0,618.0
800,472.0,472.0
801,56.0,42.0
802,40.0,40.0
803,3.0,3.0
806,391.0,391.0
811,200.0,200.0
812,92.0,92.0
813,6.0,6.0
817,110.0,110.0
819,3.0,3.0
821,176.0,141.0
827,4.0,4.0
828,28.0,25.0
829,433.0,433.0
831,9.0,9.0
832,115.0,115.0
833,18.0,18.0
835,125.0,125.0
836,60.0,60.0
837,69.0,63.0
840,134.0,134.0
845,14.0,13.0
848,875.0,875.0
858,415.0,415.0
861,14.0,14.0
864,137.0,137.0
865,13.0,13.0
869,52.0,43.0
870,127.0,127.0
875,43.0,43.0
876,16.0,16.0
879,279.0,279.0
880,324.0,259.0
884,50.0,49.0
889,122.0,121.5
891,329.0,329.0
897,44.0,44.0
898,11.0,11.0
901,231.0,231.0
902,602.0,601.5
906,13.0,13.0
907,94.0,94.0
